File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2016273000000_aid0001,_250m_16_days_NDVI,aid0001,2016-09-29,3227.0,0.0533,0.3796,"(0.0533,0.3796)",0.1062684,0.0292915,0.000858,0.1152,0.1548,0.0967,0.0533,0.0888
MOD13Q1_061__250m_16_days_NDVI_doy2016289000000_aid0001,_250m_16_days_NDVI,aid0001,2016-10-15,3227.0,0.0214,0.3233,"(0.0214,0.3233)",0.1054602,0.0283156,0.0008018,0.11445,0.1529,0.0969,0.0566,0.0888
MOD13Q1_061__250m_16_days_NDVI_doy2016305000000_aid0001,_250m_16_days_NDVI,aid0001,2016-10-31,3227.0,0.0593,0.3252,"(0.0593,0.3252)",0.1087938,0.0288074,0.0008299,0.1159,0.1523,0.1003,0.0593,0.0916
MOD13Q1_061__250m_16_days_NDVI_doy2016321000000_aid0001,_250m_16_days_NDVI,aid0001,2016-11-16,3227.0,0.061,0.3286,"(0.061,0.3286)",0.1059758,0.0277925,0.0007724,0.1139,0.1505,0.0974,0.061,0.0895
MOD13Q1_061__250m_16_days_NDVI_doy2016337000000_aid0001,_250m_16_days_NDVI,aid0001,2016-12-02,3227.0,0.0419,0.3153,"(0.0419,0.3153)",0.1058223,0.0312501,0.0009766,0.11485,0.1566,0.0958,0.0498,0.087
MOD13Q1_061__250m_16_days_NDVI_doy2016353000000_aid0001,_250m_16_days_NDVI,aid0001,2016-12-18,3227.0,0.0397,0.3019,"(0.0397,0.3019)",0.1048288,0.0311134,0.000968,0.11495,0.1582,0.0955,0.0427,0.086
MOD13Q1_061__250m_16_days_NDVI_doy2017001000000_aid0001,_250m_16_days_NDVI,aid0001,2017-01-01,3227.0,0.0397,0.3012,"(0.0397,0.3012)",0.1034996,0.0298157,0.000889,0.1131,0.1548,0.0956,0.0469,0.0852
MOD13Q1_061__250m_16_days_NDVI_doy2017017000000_aid0001,_250m_16_days_NDVI,aid0001,2017-01-17,3227.0,0.0293,0.2792,"(0.0293,0.2792)",0.1040651,0.0273385,0.0007474,0.114,0.1538,0.0968,0.0561,0.08735
MOD13Q1_061__250m_16_days_NDVI_doy2017033000000_aid0001,_250m_16_days_NDVI,aid0001,2017-02-02,3227.0,0.0435,0.2866,"(0.0435,0.2866)",0.1033556,0.0248518,0.0006176,0.11135,0.1463,0.0971,0.0558,0.088
MOD13Q1_061__250m_16_days_NDVI_doy2017049000000_aid0001,_250m_16_days_NDVI,aid0001,2017-02-18,3227.0,0.05,0.2796,"(0.05,0.2796)",0.1082828,0.0255241,0.0006515,0.11615,0.1511,0.1014,0.0614,0.0927
MOD13Q1_061__250m_16_days_NDVI_doy2017065000000_aid0001,_250m_16_days_NDVI,aid0001,2017-03-06,3227.0,0.0407,0.2569,"(0.0407,0.2569)",0.1045026,0.0261025,0.0006813,0.1133,0.15,0.0976,0.0526,0.0888
MOD13Q1_061__250m_16_days_NDVI_doy2017081000000_aid0001,_250m_16_days_NDVI,aid0001,2017-03-22,3227.0,0.0491,0.2673,"(0.0491,0.2673)",0.1045951,0.0266424,0.0007098,0.11355,0.1519,0.0981,0.0508,0.0879
MOD13Q1_061__250m_16_days_NDVI_doy2017097000000_aid0001,_250m_16_days_NDVI,aid0001,2017-04-07,3227.0,0.0413,0.2876,"(0.0413,0.2876)",0.1049956,0.029227,0.0008542,0.1158,0.1593,0.0963,0.0467,0.0868
MOD13Q1_061__250m_16_days_NDVI_doy2017113000000_aid0001,_250m_16_days_NDVI,aid0001,2017-04-23,3227.0,0.041,0.2873,"(0.041,0.2873)",0.1033612,0.0282071,0.0007956,0.11425,0.1567,0.0947,0.0504,0.0856
MOD13Q1_061__250m_16_days_NDVI_doy2017129000000_aid0001,_250m_16_days_NDVI,aid0001,2017-05-09,3227.0,0.0354,0.3159,"(0.0354,0.3159)",0.1064704,0.0299905,0.0008994,0.11555,0.1569,0.0977,0.0492,0.08795
MOD13Q1_061__250m_16_days_NDVI_doy2017145000000_aid0001,_250m_16_days_NDVI,aid0001,2017-05-25,3227.0,0.0431,0.3339,"(0.0431,0.3339)",0.1074044,0.0312782,0.0009783,0.1173,0.1609,0.0971,0.0522,0.0881
MOD13Q1_061__250m_16_days_NDVI_doy2017161000000_aid0001,_250m_16_days_NDVI,aid0001,2017-06-10,3227.0,0.0504,0.3617,"(0.0504,0.3617)",0.1048714,0.0315053,0.0009926,0.1141,0.1566,0.0949,0.0504,0.0857
